Dip,DipDir_
84.79079437,47.24998474
80.84696198,39.59683228
87.93531799,38.53819275
83.88838959,211.4801636
80.75798035,222.5493622
88.88606262,28.39122391
79.54709625,41.25337601
85.98575592,222.4692688
78.50261688,40.5967598
89.94511414,216.1834259
77.66395569,30.97341919
82.60434723,34.56995773
87.47125244,44.23636627
89.55550385,221.1089478
82.58444214,43.24387741
85.43267059,45.91332626
79.71882629,216.2726135
88.9020462,43.82316208
89.17931366,41.02138519
82.78276825,214.0691376
86.42977142,213.8794708
78.90104675,208.2437744
88.37319946,236.238327
80.87973785,232.0130157
81.44439697,53.64400482
85.85907745,205.0973969
89.65284729,31.93267632
89.24905396,224.7782288
84.50499725,215.7079315
83.8667984,33.02477646
86.83751678,41.1760025
83.25935364,48.56245804
86.99969482,59.7324295
78.32933807,41.63784409
89.93487549,218.8877563
86.51699829,37.74911499
83.65923309,217.4291229
88.18592834,38.23524094
87.39441681,41.2232399
80.64250183,34.73573303
84.46351624,209.1659393
86.92896271,217.2998505
88.17237854,43.3509903
87.97943115,30.90605927
87.00673676,32.82878876
88.64971161,218.7542725
79.97601318,215.4795074
76.66962433,213.6756592
88.97801208,224.279892
80.13323212,40.00842667
72.44043732,46.2998085
83.23150635,45.10141373
85.46188354,216.9860229
87.10153961,207.8842773
89.81808472,214.5348511
81.09528351,213.1482697
80.07061005,229.528656
75.48082733,222.0018005
81.72064209,40.59801102
80.41741943,209.9170837
87.4905014,219.0648956
72.72913361,45.78032303
81.18016052,36.24940491
85.38067627,42.69478607
78.62580109,205.5006409
73.33500671,33.7420311
81.74682617,41.68920517
84.2097168,199.5755615
87.39507294,232.0735474
88.96972656,221.7346649
82.68684387,212.681076
82.6558075,210.171814
78.69745636,207.2395172
85.00456238,217.2801514
75.01541138,232.5445099
85.92939758,211.4666901
75.47003937,31.93865967
79.88498688,33.00814056
87.32413483,30.56177902
83.72963715,226.7258606
86.27897644,223.7820282
88.63522339,46.23237991
85.40179443,37.08420563
84.37676239,215.5809021
87.52520752,214.3791962
85.95695496,49.02262497
78.1155014,241.8016968
89.08983612,26.27090836
84.58700562,42.49586868
85.18437195,217.0384979
89.44154358,214.6373901
76.45358276,35.89276886
79.02642822,52.45845032
87.40470123,220.5980072
89.89854431,217.8355865
88.68139648,235.287674
74.04082489,217.8631287
86.8531189,46.50541687
87.309021,41.80346298
82.92626953,238.0331421
81.68792725,221.6422577
86.44750977,31.33600044
88.30105591,210.8373718
86.65416718,216.3499908
76.97376251,209.4752045
88.81790924,222.8676758
84.02606964,209.7957458
86.81145477,225.1523285
83.58807373,226.5505371
89.17121124,48.0225563
79.05874634,34.36621857
84.30268097,217.8447113
84.03639221,39.59469223
87.46599579,202.765152
84.32617188,214.0965271
83.99874878,215.6428528
64.23117828,215.5712891
87.39123535,222.3270416
88.28923035,221.4891052
88.71920013,41.10611725
83.08865356,218.0011444
83.40077972,220.2296906
81.84402466,45.59091568
85.43122864,49.92879105
85.82598114,52.2134819
89.85354614,38.98836136
88.11860657,230.5389404
87.72398376,228.816391
81.98445129,231.5874023
89.17267609,38.57243347
88.36241913,216.0266724
77.54122162,221.7943726
89.24468231,38.5010376
77.98080444,209.7736969
85.58415222,219.4188995
84.05886841,222.2588348
87.67703247,222.7087708
89.33544159,48.151577
87.31209564,58.16440964
88.85415649,213.8453369
79.21463013,64.19309998
78.38786316,220.2163391
83.79514313,213.0300751
88.99259949,231.2006378
77.91421509,218.9468384
73.00965118,213.4294281
85.30425262,223.9590454
80.59148407,212.863266
79.84554291,225.7049255
89.94447327,52.35340118
85.82603455,214.8184509
72.9283371,222.1273346
81.47942352,221.7828674
86.13962555,232.4594116
87.35817719,216.1663208
81.55104828,220.6031799
81.65764618,228.1075897
71.81217957,217.6569824
72.33815002,217.9423218
82.76165009,228.6321411
83.19283295,232.8453674
73.7625351,231.2324829
77.83269501,223.6126099
84.0016861,212.3396759
69.14365387,247.276947
84.65475464,217.7497559
85.81218719,239.858963
86.42141724,223.7589569
86.48851013,59.14582062
79.79289246,243.7120361
89.87862396,27.52977753
87.1388855,212.1240234
88.40047455,29.11340523
78.53264618,201.7196655
85.22214508,210.2404633
83.82513428,205.0791626
82.47155762,209.3134766
75.91094208,203.8848419
82.98700714,212.5667419
82.42693329,223.9792023
84.71263123,45.49085617
82.60250092,49.22232437
84.39697266,218.4431152
74.48744202,219.0795288
83.06607819,217.895813
82.00035095,216.6060181
84.39866638,208.3254547
81.88373566,216.7465515
81.82888794,218.6034393
88.51316071,228.6785889
85.94381714,231.6541748
85.33843994,219.1525116
84.4074173,220.6542358
81.51816559,217.8689117
87.7977829,221.8093109
86.763237,31.68399429
84.71360016,219.9368134
89.06329346,220.8243866
85.52468872,221.4310455
88.33229828,222.0048676
78.99242401,210.8437653
85.93521118,41.95527649
89.4662323,219.4226837
82.93715668,210.0482941
87.51062775,41.97661591
89.31485748,227.6492615
79.6866684,223.0402832
87.27314758,221.6480408
84.9056778,218.5455627
86.57052612,36.58964157
86.42285156,221.054657
73.72674561,224.2577515
79.07752228,219.0814819
77.56131744,218.7804413
85.40494537,217.0443573
73.78334808,214.1546326
80.11626434,213.7524567
84.36988068,215.2770081
72.28186035,198.0141907
87.13844299,228.611908
86.17469025,218.5379791
88.58600616,219.0068054
74.07725525,218.6503601
80.39930725,223.1844482
87.8771286,38.73451233
78.7394104,223.783432
88.71242523,47.5918808
79.71157074,212.1257019
79.51953888,232.7362366
78.17841339,222.5137634
80.22384644,217.3621674
83.60236359,217.8802338
82.05493164,215.6244354
81.19703674,219.2709961
84.05943298,220.6842194
79.38469696,48.66297913
81.19517517,217.6266022
87.85968018,41.62065125
75.51716614,206.5918427
79.9291687,214.2343445
87.39728546,35.49371338
83.93395996,38.70312119
78.73886108,223.1774597
86.87726593,239.0838165
89.34738159,31.39553833
79.3890686,227.4681091
76.37756348,219.7631073
80.80805206,219.9054108
79.12320709,215.5988312
81.39369202,219.6532593
74.41537476,230.5716553
83.30117798,215.6493378
73.72229767,225.2485352
88.92830658,226.3690796
73.28598785,225.0480957
89.58656311,228.6977081
89.63742065,229.8624115
88.51793671,222.2216339
83.83319855,216.1957703
88.05422211,39.22307587
71.91468048,216.1063843
77.4656601,205.6216125
75.29631042,210.717514
84.14060211,210.5582886
85.21051788,214.7105408
79.31026459,228.5801849
82.50209045,35.4270401
81.68973541,221.4038239
86.26284027,51.76345825
88.34898376,36.42541122
86.37437439,216.021347
69.88323212,239.7355652
76.95309448,230.7775574
89.55310822,212.3218384
87.13848114,225.5247803
72.2878952,220.5439606
83.30459595,36.79631805
72.1682663,213.6762695
86.77125549,213.1652679
89.33398438,39.94166946
86.21958923,235.2253265
86.87065125,231.6162262
87.40184021,219.2461548
82.38758087,221.9564362
81.97053528,38.95385361
82.32600403,216.6455078
80.5184021,210.0005798
79.74546051,59.59503174
86.71418762,55.92934418
81.1545105,214.2850494
71.99094391,216.6886444
80.00353241,220.079483
85.94792175,217.1953735
79.38414764,218.0761414
77.87212372,217.9763641
86.44036102,49.69514847
87.67095184,224.2598419
89.21479034,217.1114655
86.56269073,224.928894
75.79837036,60.31534195
87.56216431,49.35075378
86.64067078,219.3113251
84.45800018,227.1399384
84.69120026,229.6127167
84.51886749,37.63271713
79.5472641,212.7360535
85.01882935,222.667984
89.20709229,49.10120773
86.17300415,37.79921341
78.93505859,226.5274658
79.68500519,224.2834778
89.46142578,226.4192047
89.42788696,220.5076447
85.85215759,220.6297607
85.4009552,231.5095367
87.87705231,210.2934113
86.31286621,213.601944
88.1280365,219.5080109
76.15033722,42.91839981
81.95510101,214.5798187
87.66527557,32.03251648
86.58190155,223.3726044
83.66887665,218.5993195
86.56467438,38.25074387
88.47757721,230.7983856
89.98716736,219.8730164
87.2064209,225.2091675
87.13478088,225.062912
82.57296753,33.1408577
83.03383636,231.0189972
89.92245483,45.01026154
83.61817932,219.0573273
89.23094177,41.78582001
89.57274628,51.57728195
80.23625946,39.21511078
89.58637238,220.3708496
67.47207642,43.45238495
77.35578918,43.39632797
81.68915558,222.8172607
78.06402588,226.5236816
73.46353149,232.872406
79.15400696,220.1260529
77.46472931,221.2460175
74.34714508,219.0256958
74.53166962,230.0667572
82.4705658,251.8263702
76.25547028,78.25501251
87.26832581,219.0244751
86.78544617,55.45845795
75.3653717,65.60699463
88.16210175,62.64915085
82.38257599,52.91190338
80.3631897,222.3538818
44.94576263,57.29257202
78.16181946,63.14175797
89.73043823,66.31548309
84.83874512,239.8596497
89.8580246,57.71793747
77.30627441,59.3192482
